sample_size,target_false_positive_rate,repeats,insert_seconds_mean,insert_seconds_stdev,present_query_seconds_mean,absent_query_seconds_mean,bit_count,hash_count,memory_bytes
1000,0.01,2,0.006358730999998841,0.00023596294708973703,0.006527176500000564,0.005201399500002424,9586,7,1199
5000,0.01,2,0.032103091499998015,0.0033219289681525794,0.031586795999992034,0.026635765500003572,47926,7,5991
10000,0.01,2,0.06045499649999897,0.0016048940983030841,0.0632767470000033,0.05232445500000438,95851,7,11982
