sample_size,target_false_positive_rate,repeats,insert_seconds_mean,insert_seconds_stdev,present_query_seconds_mean,absent_query_seconds_mean,bit_count,hash_count,memory_bytes
1000,0.01,5,0.004320788395125419,8.690305007029546e-05,0.004516631411388516,0.003927730995928869,9586,7,1199
5000,0.01,5,0.021577832597540692,0.0002241859559408207,0.022845316788880153,0.020156583999050782,47926,7,5991
10000,0.01,5,0.04297765680821612,0.00042949618405527186,0.045187450805678965,0.039438167796470226,95851,7,11982
50000,0.01,5,0.21287830119836143,0.0010344896518871783,0.2245887010009028,0.19644076779368333,479253,7,59907
100000,0.01,5,0.4279095791920554,0.0018737578237057995,0.4503383965988178,0.3935818789992481,958506,7,119814
250000,0.01,5,1.0660127858049235,0.0038905366029255892,1.1259462257963606,0.9825442264089361,2396265,7,299534
